audio_hidden,video_hidden,text_hidden,audio_dropout,video_dropout,text_dropout,factor_learning_rate,learning_rate,rank,batch_size,weight_decay,Best Validation MAE,Confidence accuracy,Passionate accuracy,Pleasant accuracy,Dominant accuracy,Credible accuracy,Vivid accuracy,Expertise accuracy,Entertaining accuracy,Reserved accuracy,Trusting accuracy,Relaxed accuracy,Outgoing accuracy,Thorough accuracy,Nervous accuracy,Persuasive accuracy,Humorous accuracy,Confidence MAE,Passionate MAE,Pleasant MAE,Dominant MAE,Credible MAE,Vivid MAE,Expertise MAE,Entertaining MAE,Reserved MAE,Trusting MAE,Relaxed MAE,Outgoing MAE,Thorough MAE,Nervous MAE,Persuasive MAE,Humorous MAE,Confidence corr,Passionate corr,Pleasant corr,Dominant corr,Credible corr,Vivid corr,Expertise corr,Entertaining corr,Reserved corr,Trusting corr,Relaxed corr,Outgoing corr,Thorough corr,Nervous corr,Persuasive corr,Humorous corr
16,8,64,0.2,0.5,0.1,0.003,0.003,16,4,0.001,0.8482881164550782,0.276,0.271,0.3,0.384,0.251,0.291,0.246,0.3,0.34,0.542,0.458,0.394,0.335,0.453,0.212,0.335,1.009,1.099,0.926,0.87,1.078,1.039,1.045,1.017,0.864,0.537,0.603,0.699,0.753,0.681,1.175,0.751,0.287,0.253,-0.049,0.314,0.141,0.143,0.166,0.271,0.277,0.033,0.065,0.243,0.19,0.232,0.165,0.275
16,4,64,0.3,0.2,0.15,0.0005,0.0003,1,32,0.01,0.8343024444580078,0.241,0.3,0.305,0.345,0.232,0.345,0.31,0.31,0.286,0.369,0.424,0.36,0.379,0.438,0.241,0.365,1.0,1.058,0.919,0.869,1.03,0.946,0.97,0.941,0.961,0.667,0.663,0.77,0.722,0.743,1.095,0.776,0.362,0.342,0.116,0.283,0.275,0.358,0.357,0.316,-0.057,0.0,0.124,0.18,0.318,-0.027,0.238,0.21
8,4,256,0,0,0,0.003,0.003,4,8,0.001,0.8699365997314453,0.241,0.227,0.33,0.34,0.212,0.276,0.276,0.32,0.325,0.527,0.498,0.424,0.369,0.429,0.227,0.404,1.015,1.093,0.893,0.888,1.073,1.054,1.023,0.959,0.887,0.613,0.604,0.694,0.762,0.711,1.14,0.743,0.283,0.293,0.149,0.253,0.195,0.239,0.218,0.262,0.119,0.045,0.097,0.208,0.18,0.163,0.184,0.22
8,4,64,0.2,0.1,0.3,0.001,0.0005,1,8,0.001,0.8461174011230469,0.266,0.335,0.266,0.36,0.227,0.31,0.305,0.315,0.296,0.429,0.453,0.399,0.394,0.404,0.256,0.379,0.957,1.005,0.926,0.869,1.029,0.986,0.994,0.927,0.933,0.613,0.615,0.727,0.716,0.732,1.067,0.746,0.382,0.4,0.052,0.318,0.254,0.306,0.303,0.361,0.072,0.043,0.118,0.202,0.269,0.105,0.229,0.3
8,8,128,0.3,0,0,0.003,0.001,4,4,0.001,0.9065406036376953,0.236,0.197,0.33,0.32,0.281,0.335,0.271,0.281,0.33,0.562,0.389,0.404,0.424,0.404,0.232,0.35,1.043,1.175,0.921,0.939,1.061,1.08,1.06,0.983,0.877,0.529,0.82,0.681,0.78,0.696,1.156,0.78,0.237,0.229,-0.025,0.228,0.165,0.097,0.092,0.251,0.234,0.063,0.12,0.275,0.13,0.206,0.136,0.148
16,4,64,0,0.5,0.3,0.0003,0.0003,1,4,0,0.8306882476806641,0.251,0.32,0.261,0.36,0.276,0.355,0.296,0.315,0.315,0.433,0.473,0.36,0.384,0.399,0.236,0.32,0.977,1.023,0.907,0.888,1.056,1.023,0.996,0.947,0.95,0.633,0.632,0.748,0.762,0.76,1.123,0.764,0.357,0.377,0.157,0.249,0.238,0.247,0.313,0.319,-0.055,-0.038,0.074,0.193,0.247,-0.076,0.194,0.229
8,4,128,0.2,0.3,0.1,0.001,0.001,4,16,0.002,0.8585561370849609,0.246,0.276,0.286,0.355,0.286,0.325,0.266,0.365,0.305,0.512,0.483,0.414,0.355,0.438,0.236,0.409,0.994,1.08,0.915,0.859,1.041,1.001,1.023,0.904,0.866,0.555,0.597,0.678,0.735,0.687,1.114,0.762,0.342,0.306,0.01,0.331,0.216,0.221,0.247,0.354,0.276,0.017,0.101,0.301,0.227,0.256,0.184,0.304
16,4,128,0.1,0.1,0.1,0.001,0.0005,8,32,0.002,0.8557810974121094,0.232,0.246,0.32,0.36,0.271,0.3,0.276,0.325,0.33,0.498,0.473,0.374,0.365,0.438,0.232,0.374,0.997,1.079,0.887,0.886,1.039,1.031,1.024,0.947,0.867,0.554,0.574,0.715,0.743,0.69,1.083,0.741,0.316,0.307,0.141,0.213,0.199,0.177,0.217,0.287,0.215,0.003,0.241,0.189,0.176,0.197,0.234,0.252
16,16,64,0,0.3,0.5,0.0005,0.0005,16,4,0,0.8788599395751953,0.251,0.305,0.256,0.32,0.251,0.305,0.325,0.291,0.291,0.399,0.478,0.355,0.394,0.448,0.202,0.438,1.016,1.031,0.922,0.877,1.047,1.027,0.983,0.933,0.921,0.614,0.64,0.739,0.756,0.716,1.154,0.763,0.38,0.402,0.207,0.35,0.322,0.316,0.382,0.382,0.113,0.041,0.165,0.264,0.278,0.129,0.262,0.287
4,4,128,0,0.1,0.5,0.003,0.0003,4,8,0.002,0.8587691497802734,0.246,0.197,0.32,0.325,0.271,0.31,0.236,0.305,0.296,0.448,0.448,0.389,0.448,0.419,0.251,0.419,1.033,1.13,0.896,0.908,1.025,0.978,1.009,0.963,0.92,0.559,0.597,0.735,0.709,0.717,1.054,0.75,0.295,0.295,0.079,0.229,0.244,0.321,0.251,0.307,-0.018,0.027,0.141,0.157,0.27,0.051,0.269,0.282
