audio_hidden,video_hidden,text_hidden,audio_dropout,video_dropout,text_dropout,factor_learning_rate,learning_rate,rank,batch_size,weight_decay,Best Validation MAE,Confidence accuracy,Passionate accuracy,Pleasant accuracy,Dominant accuracy,Credible accuracy,Vivid accuracy,Expertise accuracy,Entertaining accuracy,Reserved accuracy,Trusting accuracy,Relaxed accuracy,Outgoing accuracy,Thorough accuracy,Nervous accuracy,Persuasive accuracy,Humorous accuracy,Confidence MAE,Passionate MAE,Pleasant MAE,Dominant MAE,Credible MAE,Vivid MAE,Expertise MAE,Entertaining MAE,Reserved MAE,Trusting MAE,Relaxed MAE,Outgoing MAE,Thorough MAE,Nervous MAE,Persuasive MAE,Humorous MAE,Confidence corr,Passionate corr,Pleasant corr,Dominant corr,Credible corr,Vivid corr,Expertise corr,Entertaining corr,Reserved corr,Trusting corr,Relaxed corr,Outgoing corr,Thorough corr,Nervous corr,Persuasive corr,Humorous corr
16,4,64,0.1,0.1,0,0.003,0.0003,8,32,0,0.84671875,0.271,0.276,0.3,0.36,0.276,0.33,0.33,0.33,0.286,0.453,0.468,0.369,0.414,0.389,0.266,0.389,0.988,1.013,0.954,0.863,0.986,0.929,0.903,0.934,0.904,0.606,0.615,0.739,0.708,0.719,1.042,0.748,0.391,0.406,0.03,0.284,0.333,0.4,0.463,0.326,0.217,-0.054,0.111,0.24,0.358,0.183,0.292,0.309
8,16,128,0.2,0.2,0,0.0005,0.0003,1,64,0.001,0.8587179565429688,0.251,0.276,0.33,0.355,0.241,0.305,0.266,0.271,0.305,0.399,0.453,0.355,0.34,0.409,0.296,0.35,1.015,1.089,0.875,0.892,1.065,1.014,1.03,0.955,0.904,0.583,0.594,0.727,0.752,0.723,1.094,0.75,0.264,0.251,0.145,0.226,0.118,0.2,0.212,0.28,0.089,-0.147,0.138,0.132,0.148,-0.015,0.17,0.196
8,8,256,0.1,0,0,0.0005,0.0005,4,32,0.01,0.8805117797851563,0.271,0.335,0.315,0.325,0.256,0.3,0.241,0.296,0.31,0.374,0.374,0.374,0.355,0.414,0.222,0.384,1.013,1.104,0.921,0.885,1.047,1.03,1.03,0.971,0.9,0.576,0.617,0.717,0.762,0.706,1.129,0.757,0.227,0.242,-0.034,0.227,0.164,0.17,0.18,0.215,0.051,-0.052,0.069,0.138,0.094,0.139,0.194,0.129
8,16,128,0.15,0.2,0.3,0.003,0.003,8,64,0.001,0.8526109313964844,0.222,0.276,0.34,0.345,0.246,0.31,0.271,0.286,0.315,0.507,0.498,0.389,0.335,0.448,0.227,0.399,1.031,1.099,0.879,0.892,1.077,1.026,1.038,0.986,0.882,0.542,0.621,0.706,0.75,0.7,1.118,0.756,0.226,0.244,0.129,0.233,0.124,0.197,0.156,0.224,0.241,-0.036,0.098,0.189,0.11,0.194,0.171,0.262
16,4,256,0.2,0.2,0.5,0.001,0.001,1,8,0.001,0.8516679382324219,0.251,0.286,0.315,0.33,0.251,0.31,0.276,0.345,0.31,0.552,0.483,0.394,0.369,0.419,0.227,0.374,1.02,1.07,0.903,0.898,1.05,1.032,1.048,0.945,0.855,0.54,0.576,0.679,0.737,0.685,1.089,0.739,0.287,0.313,0.071,0.25,0.226,0.158,0.152,0.302,0.331,0.079,0.202,0.299,0.178,0.286,0.216,0.29
4,16,64,0.1,0,0.1,0.001,0.001,8,4,0.001,0.9334063720703125,0.256,0.222,0.291,0.31,0.271,0.271,0.266,0.261,0.291,0.517,0.498,0.384,0.379,0.315,0.241,0.34,1.019,1.098,0.995,0.927,1.088,1.138,1.05,1.004,0.974,0.662,0.675,0.72,0.762,0.743,1.177,0.752,0.288,0.295,0.052,0.31,0.192,0.245,0.223,0.281,0.059,-0.029,0.098,0.2,0.196,0.123,0.199,0.27
16,16,64,0.5,0.1,0.3,0.0005,0.001,1,8,0.001,0.864769287109375,0.246,0.3,0.33,0.34,0.246,0.296,0.241,0.296,0.33,0.389,0.404,0.345,0.369,0.409,0.241,0.35,1.028,1.097,0.891,0.903,1.049,1.029,1.034,0.968,0.881,0.562,0.618,0.722,0.732,0.702,1.093,0.751,0.231,0.279,0.079,0.199,0.181,0.186,0.151,0.217,0.169,0.07,0.008,0.155,0.146,0.137,0.198,0.183
16,4,64,0.5,0.3,0.15,0.003,0.0005,1,8,0.001,0.8316966247558594,0.232,0.33,0.232,0.32,0.232,0.31,0.345,0.276,0.291,0.438,0.394,0.355,0.374,0.399,0.281,0.365,1.037,1.047,0.97,0.887,1.035,0.993,0.964,0.942,0.934,0.622,0.649,0.757,0.748,0.726,1.116,0.758,0.321,0.344,0.014,0.287,0.267,0.315,0.375,0.32,0.041,-0.009,0.144,0.155,0.254,0.073,0.226,0.265
16,4,64,0.5,0.3,0.15,0.0005,0.003,1,128,0.002,0.8466855621337891,0.241,0.296,0.286,0.33,0.246,0.305,0.227,0.281,0.271,0.409,0.404,0.394,0.36,0.379,0.246,0.404,1.018,1.097,0.902,0.88,1.042,1.005,1.028,0.948,0.929,0.607,0.606,0.704,0.752,0.77,1.076,0.746,0.289,0.278,0.138,0.217,0.214,0.182,0.211,0.304,-0.191,-0.053,0.157,0.237,0.161,-0.239,0.213,0.208
8,16,256,0.5,0.2,0.15,0.0003,0.0005,1,4,0.002,0.8752175903320313,0.222,0.315,0.325,0.355,0.241,0.335,0.261,0.3,0.32,0.365,0.389,0.384,0.296,0.424,0.232,0.355,1.026,1.107,0.891,0.884,1.062,1.024,1.035,0.956,0.875,0.562,0.612,0.698,0.777,0.698,1.121,0.757,0.257,0.315,0.079,0.254,0.147,0.15,0.16,0.303,0.242,-0.005,0.127,0.199,0.105,0.179,0.215,0.252
8,16,64,0.2,0.1,0.3,0.003,0.001,16,4,0.001,0.8940506744384765,0.266,0.256,0.271,0.35,0.227,0.3,0.246,0.291,0.33,0.34,0.483,0.374,0.3,0.443,0.222,0.34,1.009,1.074,0.917,0.883,1.134,1.046,1.044,0.978,0.876,0.58,0.587,0.773,0.772,0.693,1.1,0.777,0.293,0.319,0.139,0.239,0.176,0.184,0.184,0.26,0.225,0.079,0.165,0.201,0.174,0.216,0.211,0.205
4,8,128,0,0.15,0.15,0.0005,0.001,4,4,0,0.8551396179199219,0.261,0.256,0.33,0.36,0.256,0.291,0.286,0.315,0.325,0.507,0.498,0.414,0.35,0.458,0.227,0.379,1.006,1.086,0.885,0.882,1.062,1.013,1.027,0.968,0.862,0.544,0.583,0.692,0.746,0.674,1.105,0.75,0.281,0.288,0.089,0.258,0.157,0.178,0.199,0.24,0.261,0.038,0.173,0.244,0.147,0.265,0.214,0.277
16,16,128,0.2,0.5,0.15,0.0003,0.001,4,16,0.002,0.8612614440917968,0.246,0.271,0.325,0.32,0.251,0.32,0.266,0.35,0.3,0.552,0.512,0.389,0.379,0.365,0.246,0.374,1.007,1.084,0.88,0.898,1.063,1.031,1.088,0.945,0.912,0.549,0.578,0.707,0.761,0.728,1.112,0.751,0.307,0.284,0.186,0.204,0.193,0.182,0.167,0.296,0.192,0.03,0.221,0.227,0.157,0.148,0.214,0.264
8,16,256,0.2,0.3,0.15,0.001,0.001,8,128,0.01,0.8520804595947266,0.232,0.232,0.31,0.34,0.236,0.315,0.227,0.291,0.32,0.502,0.468,0.419,0.379,0.438,0.212,0.355,1.011,1.116,0.909,0.88,1.071,1.018,1.056,0.967,0.887,0.549,0.58,0.698,0.754,0.701,1.108,0.744,0.275,0.234,0.077,0.251,0.158,0.184,0.142,0.259,0.163,0.019,0.162,0.191,0.163,0.151,0.196,0.251
4,4,256,0.1,0.2,0,0.003,0.0003,4,16,0.01,0.8484592437744141,0.261,0.286,0.246,0.296,0.256,0.33,0.335,0.335,0.335,0.438,0.443,0.36,0.429,0.448,0.232,0.345,0.946,1.006,0.922,0.866,1.017,0.971,0.939,0.927,0.859,0.589,0.611,0.719,0.737,0.688,1.098,0.743,0.441,0.437,0.069,0.349,0.322,0.353,0.421,0.374,0.287,-0.023,0.139,0.24,0.314,0.246,0.254,0.334
16,4,128,0.1,0.1,0.5,0.001,0.0005,8,8,0.001,0.8487137603759766,0.246,0.276,0.335,0.35,0.266,0.296,0.256,0.276,0.31,0.483,0.507,0.409,0.34,0.424,0.276,0.404,1.002,1.099,0.899,0.907,1.073,1.039,1.041,0.96,0.883,0.546,0.593,0.706,0.745,0.718,1.093,0.743,0.259,0.245,0.009,0.174,0.092,0.124,0.138,0.256,0.197,-0.009,0.127,0.181,0.078,0.126,0.188,0.262
8,16,128,0,0.2,0.15,0.0005,0.0005,16,32,0.002,0.8602183532714843,0.271,0.32,0.325,0.315,0.246,0.296,0.296,0.32,0.325,0.379,0.453,0.424,0.345,0.414,0.222,0.384,1.009,1.078,0.865,0.876,1.049,1.02,1.007,0.924,0.886,0.591,0.587,0.688,0.736,0.697,1.085,0.742,0.314,0.312,0.213,0.27,0.218,0.208,0.224,0.337,0.179,-0.043,0.154,0.264,0.201,0.165,0.236,0.237
8,4,256,0.3,0.3,0.5,0.0005,0.0005,8,16,0,0.8517223358154297,0.222,0.315,0.335,0.335,0.241,0.305,0.261,0.296,0.315,0.532,0.493,0.374,0.345,0.409,0.232,0.409,1.028,1.115,0.88,0.901,1.077,1.032,1.039,0.975,0.884,0.532,0.578,0.711,0.748,0.694,1.111,0.75,0.222,0.23,0.137,0.168,0.129,0.127,0.15,0.243,0.206,0.009,0.187,0.151,0.107,0.176,0.161,0.244
16,16,128,0,0.2,0.1,0.0003,0.0003,16,16,0.002,0.8537905883789062,0.241,0.251,0.325,0.345,0.266,0.3,0.266,0.3,0.296,0.498,0.512,0.374,0.379,0.394,0.251,0.365,1.024,1.071,0.895,0.903,1.077,1.048,1.074,0.97,0.909,0.565,0.606,0.71,0.759,0.709,1.113,0.757,0.268,0.289,0.123,0.203,0.141,0.144,0.162,0.25,0.13,-0.065,0.096,0.222,0.146,0.117,0.201,0.231
4,8,128,0.15,0.5,0,0.0003,0.0005,4,64,0,0.8499979400634765,0.227,0.256,0.227,0.35,0.261,0.325,0.256,0.3,0.31,0.517,0.478,0.365,0.355,0.35,0.261,0.404,1.044,1.092,0.943,0.868,1.069,1.033,1.068,0.976,0.906,0.545,0.566,0.727,0.763,0.756,1.062,0.741,0.237,0.303,0.055,0.247,0.134,0.136,0.074,0.203,0.022,-0.164,0.227,0.164,0.154,-0.11,0.251,0.214
4,4,128,0,0.15,0.1,0.003,0.0005,1,32,0,0.8553787231445312,0.217,0.271,0.291,0.335,0.271,0.3,0.271,0.325,0.33,0.498,0.527,0.404,0.335,0.438,0.261,0.365,1.041,1.105,0.918,0.91,1.022,1.016,0.998,0.956,0.889,0.535,0.575,0.707,0.732,0.699,1.062,0.75,0.206,0.212,0.032,0.125,0.215,0.169,0.224,0.273,0.124,0.011,0.188,0.098,0.146,0.122,0.233,0.248
16,16,256,0.15,0.1,0.3,0.0005,0.0003,8,128,0.002,0.8661388397216797,0.271,0.271,0.34,0.315,0.246,0.3,0.305,0.271,0.33,0.409,0.468,0.394,0.35,0.414,0.241,0.355,1.024,1.102,0.873,0.886,1.083,1.017,1.047,0.982,0.906,0.592,0.595,0.708,0.752,0.712,1.112,0.765,0.211,0.202,0.149,0.208,0.119,0.16,0.124,0.213,0.008,-0.174,0.145,0.131,0.11,0.003,0.148,0.167
8,8,256,0.3,0.1,0.15,0.001,0.0005,8,32,0.002,0.8498291015625,0.222,0.3,0.33,0.34,0.256,0.32,0.276,0.305,0.32,0.453,0.507,0.369,0.384,0.409,0.251,0.365,1.016,1.087,0.89,0.892,1.062,1.028,1.056,0.961,0.89,0.549,0.587,0.71,0.744,0.699,1.107,0.744,0.268,0.286,0.097,0.214,0.135,0.109,0.136,0.278,0.232,-0.084,0.123,0.134,0.083,0.178,0.175,0.304
16,8,128,0.15,0.2,0,0.0003,0.0005,8,4,0,0.9065457153320312,0.227,0.296,0.33,0.34,0.266,0.32,0.251,0.276,0.33,0.394,0.443,0.394,0.36,0.424,0.236,0.369,1.071,1.096,0.903,0.893,1.088,1.052,1.056,0.994,0.918,0.586,0.612,0.718,0.775,0.723,1.142,0.757,0.251,0.279,0.192,0.24,0.176,0.199,0.175,0.273,-0.024,-0.039,0.114,0.226,0.101,-0.041,0.227,0.23
4,16,256,0,0.1,0.1,0.0005,0.003,16,32,0.001,0.8841949462890625,0.261,0.241,0.325,0.335,0.236,0.281,0.281,0.305,0.3,0.488,0.507,0.399,0.379,0.429,0.241,0.36,1.038,1.092,0.894,0.886,1.1,1.066,1.056,0.973,0.958,0.573,0.59,0.736,0.788,0.718,1.117,0.758,0.237,0.273,0.184,0.164,0.1,0.13,0.125,0.198,-0.14,0.006,0.162,0.173,0.039,0.024,0.138,0.039
8,4,64,0,0.5,0.2,0.0003,0.003,1,4,0,0.8529582214355469,0.31,0.286,0.227,0.384,0.266,0.3,0.271,0.31,0.315,0.483,0.488,0.404,0.374,0.379,0.251,0.345,0.989,1.094,0.974,0.85,1.09,1.073,1.075,0.968,0.895,0.571,0.614,0.709,0.768,0.726,1.128,0.767,0.283,0.26,0.059,0.322,0.13,0.117,0.145,0.276,0.124,-0.075,0.066,0.17,0.162,-0.039,0.179,0.246
8,16,256,0,0.2,0.3,0.001,0.0003,16,32,0.001,0.8473169708251953,0.266,0.286,0.34,0.32,0.256,0.32,0.227,0.291,0.3,0.532,0.507,0.399,0.394,0.394,0.276,0.414,1.022,1.069,0.887,0.896,1.072,0.994,1.033,0.951,0.896,0.575,0.588,0.695,0.752,0.699,1.112,0.758,0.25,0.285,0.091,0.207,0.155,0.227,0.177,0.303,0.211,-0.037,0.143,0.175,0.111,0.154,0.187,0.294
8,8,256,0.15,0.2,0.5,0.001,0.001,4,16,0,0.8431661224365234,0.271,0.271,0.35,0.34,0.251,0.32,0.281,0.32,0.296,0.527,0.488,0.374,0.31,0.409,0.207,0.404,1.014,1.084,0.868,0.903,1.056,1.018,1.027,0.962,0.903,0.537,0.591,0.711,0.759,0.701,1.134,0.749,0.265,0.319,0.222,0.21,0.236,0.202,0.209,0.318,0.18,0.132,0.185,0.194,0.193,0.13,0.24,0.269
4,4,64,0.3,0.15,0.5,0.001,0.003,16,8,0.01,0.8455003356933594,0.276,0.241,0.355,0.335,0.236,0.325,0.261,0.315,0.32,0.542,0.507,0.424,0.33,0.448,0.222,0.394,0.997,1.1,0.887,0.874,1.073,1.022,1.044,0.952,0.868,0.536,0.594,0.683,0.749,0.689,1.107,0.746,0.291,0.275,0.093,0.271,0.106,0.149,0.141,0.281,0.262,0.135,0.108,0.266,0.124,0.267,0.159,0.28
4,8,64,0,0.1,0.15,0.0003,0.0003,16,128,0.001,0.8933747863769531,0.227,0.291,0.335,0.33,0.241,0.3,0.305,0.3,0.315,0.453,0.463,0.345,0.34,0.389,0.256,0.35,1.041,1.083,0.885,0.892,1.067,1.035,1.018,0.98,0.906,0.583,0.608,0.742,0.747,0.725,1.128,0.741,0.199,0.244,0.132,0.171,0.073,0.16,0.164,0.194,0.006,-0.007,0.056,0.093,0.029,0.012,0.128,0.21
8,4,256,0.15,0.3,0.1,0.0005,0.0003,4,4,0,0.8705303955078125,0.222,0.271,0.33,0.31,0.266,0.305,0.266,0.296,0.33,0.552,0.493,0.409,0.369,0.409,0.251,0.35,1.038,1.109,0.886,0.907,1.092,1.036,1.093,1.002,0.88,0.53,0.61,0.704,0.74,0.684,1.141,0.752,0.189,0.216,0.06,0.186,0.087,0.101,0.108,0.201,0.251,0.13,-0.028,0.166,0.142,0.24,0.132,0.301
16,4,64,0.1,0.2,0.5,0.0005,0.003,16,32,0.001,0.8714954376220703,0.276,0.236,0.325,0.345,0.241,0.325,0.281,0.335,0.335,0.414,0.443,0.409,0.34,0.409,0.256,0.355,1.027,1.109,0.907,0.878,1.065,1.039,1.052,0.951,0.9,0.585,0.619,0.684,0.746,0.703,1.125,0.755,0.287,0.267,0.128,0.273,0.125,0.169,0.145,0.273,0.215,0.058,0.021,0.279,0.171,0.204,0.16,0.262
8,8,64,0,0,0.5,0.0003,0.001,1,16,0.01,0.8736703491210938,0.296,0.266,0.305,0.32,0.276,0.305,0.305,0.335,0.315,0.419,0.389,0.33,0.399,0.443,0.266,0.369,0.986,1.037,0.915,0.874,1.016,0.99,0.984,0.93,0.948,0.649,0.662,0.752,0.731,0.741,1.069,0.756,0.396,0.39,0.085,0.313,0.305,0.322,0.344,0.333,-0.1,-0.015,0.109,0.198,0.294,-0.014,0.271,0.287
16,16,128,0.3,0.2,0.2,0.0003,0.0005,4,64,0.01,0.8606340026855469,0.256,0.266,0.325,0.33,0.251,0.296,0.236,0.32,0.345,0.404,0.502,0.36,0.36,0.424,0.246,0.399,1.011,1.084,0.884,0.886,1.059,1.044,1.052,0.943,0.895,0.571,0.59,0.72,0.748,0.707,1.121,0.747,0.29,0.277,0.129,0.224,0.163,0.122,0.125,0.299,0.097,-0.101,0.161,0.202,0.148,0.056,0.15,0.271
8,8,256,0,0,0.3,0.0005,0.0003,4,128,0.01,0.855329360961914,0.266,0.197,0.34,0.33,0.276,0.32,0.276,0.3,0.276,0.355,0.498,0.419,0.394,0.365,0.261,0.36,1.02,1.125,0.872,0.89,1.059,1.028,1.046,0.977,0.938,0.603,0.594,0.715,0.729,0.734,1.11,0.75,0.201,0.209,0.149,0.206,0.081,0.138,0.155,0.198,-0.122,-0.105,0.125,0.091,0.126,-0.164,0.156,0.175
8,16,64,0.3,0.15,0.3,0.0003,0.0003,4,4,0.002,0.8762105560302734,0.232,0.266,0.241,0.36,0.246,0.345,0.34,0.31,0.32,0.414,0.394,0.365,0.429,0.394,0.251,0.36,1.039,1.051,0.959,0.902,1.037,0.952,0.962,0.951,0.93,0.659,0.682,0.815,0.732,0.754,1.086,0.78,0.33,0.362,0.102,0.3,0.317,0.368,0.383,0.303,0.048,0.03,0.118,0.162,0.317,0.028,0.282,0.201
16,8,64,0.2,0.5,0.1,0.0005,0.001,1,16,0.001,0.8357707977294921,0.241,0.305,0.261,0.369,0.281,0.345,0.33,0.32,0.32,0.424,0.483,0.345,0.419,0.453,0.246,0.374,0.983,0.993,0.926,0.864,1.011,0.984,0.964,0.923,0.896,0.615,0.617,0.753,0.738,0.712,1.069,0.744,0.39,0.416,0.126,0.324,0.305,0.309,0.382,0.365,0.202,0.028,0.152,0.189,0.275,0.156,0.279,0.311
8,8,128,0.2,0.15,0.2,0.001,0.0005,4,16,0.002,0.8427178955078125,0.256,0.281,0.335,0.31,0.256,0.315,0.261,0.286,0.305,0.532,0.493,0.36,0.355,0.384,0.256,0.379,1.035,1.086,0.876,0.903,1.079,1.036,1.068,0.962,0.886,0.527,0.572,0.715,0.757,0.703,1.119,0.759,0.221,0.241,0.147,0.168,0.089,0.1,0.097,0.248,0.19,0.088,0.259,0.155,0.12,0.135,0.143,0.247
4,16,64,0.2,0.5,0.1,0.0003,0.001,4,32,0.002,0.83718017578125,0.286,0.276,0.261,0.34,0.296,0.35,0.296,0.305,0.3,0.399,0.458,0.355,0.414,0.433,0.251,0.369,0.95,1.0,0.944,0.842,1.025,0.977,0.987,0.918,0.91,0.626,0.63,0.706,0.715,0.712,1.076,0.751,0.435,0.43,0.078,0.362,0.294,0.342,0.368,0.354,0.13,-0.05,0.103,0.25,0.336,0.125,0.259,0.229
8,8,64,0,0.5,0,0.003,0.0005,1,128,0,0.8431156921386719,0.236,0.276,0.286,0.369,0.276,0.34,0.32,0.291,0.33,0.438,0.498,0.399,0.424,0.394,0.286,0.36,0.977,1.038,0.91,0.861,0.999,0.976,0.974,0.938,0.899,0.594,0.591,0.712,0.693,0.711,1.066,0.736,0.362,0.38,0.019,0.291,0.286,0.331,0.302,0.339,0.161,-0.066,0.154,0.201,0.297,0.116,0.233,0.291
8,8,128,0.15,0.1,0.5,0.0003,0.001,4,16,0,0.8686614227294922,0.241,0.261,0.325,0.345,0.241,0.305,0.296,0.291,0.315,0.458,0.493,0.374,0.369,0.409,0.266,0.365,1.006,1.082,0.892,0.885,1.051,1.053,1.056,0.961,0.905,0.548,0.602,0.716,0.773,0.698,1.1,0.745,0.28,0.269,0.198,0.221,0.152,0.107,0.159,0.234,0.019,-0.004,0.206,0.214,0.105,0.14,0.167,0.262
16,8,256,0.3,0,0.15,0.0005,0.001,8,8,0.01,0.8656710815429688,0.246,0.236,0.335,0.35,0.227,0.335,0.291,0.31,0.296,0.527,0.507,0.389,0.384,0.365,0.232,0.374,1.029,1.097,0.879,0.877,1.072,1.036,1.059,0.956,0.941,0.562,0.586,0.69,0.747,0.738,1.101,0.752,0.249,0.259,0.139,0.205,0.129,0.078,0.102,0.249,0.207,-0.084,0.125,0.245,0.079,0.185,0.137,0.224
16,4,256,0.2,0.2,0.3,0.0003,0.0003,4,4,0.001,0.8679766082763671,0.261,0.276,0.345,0.36,0.256,0.31,0.256,0.3,0.36,0.517,0.488,0.414,0.36,0.433,0.241,0.35,1.019,1.095,0.909,0.877,1.081,1.03,1.092,0.967,0.859,0.547,0.614,0.695,0.76,0.687,1.116,0.744,0.289,0.266,0.044,0.28,0.154,0.161,0.158,0.271,0.288,0.043,0.095,0.218,0.127,0.255,0.166,0.285
16,8,128,0.5,0.5,0.5,0.0005,0.0003,4,64,0.01,0.8508969116210937,0.232,0.276,0.335,0.31,0.256,0.3,0.261,0.296,0.315,0.522,0.498,0.379,0.355,0.409,0.286,0.379,1.022,1.084,0.881,0.906,1.056,1.026,1.047,0.966,0.894,0.538,0.578,0.706,0.733,0.71,1.093,0.741,0.238,0.3,0.123,0.175,0.139,0.178,0.164,0.234,0.182,0.082,0.142,0.161,0.148,0.103,0.167,0.243
8,8,256,0.5,0.2,0.1,0.0005,0.0005,4,4,0,0.8588662719726563,0.241,0.33,0.34,0.33,0.246,0.266,0.276,0.3,0.31,0.532,0.498,0.355,0.409,0.325,0.251,0.355,1.06,1.135,0.879,0.886,1.032,1.022,1.047,0.972,0.938,0.546,0.585,0.724,0.728,0.755,1.078,0.755,0.135,0.192,0.164,0.145,0.181,0.153,0.109,0.214,-0.112,0.041,0.133,0.101,0.125,-0.089,0.202,-0.003
16,16,128,0.1,0.3,0.1,0.001,0.0003,8,128,0,0.8718568420410157,0.227,0.222,0.315,0.32,0.227,0.291,0.261,0.3,0.31,0.478,0.493,0.374,0.34,0.399,0.241,0.33,1.036,1.117,0.895,0.894,1.086,1.046,1.057,0.97,0.895,0.556,0.58,0.713,0.756,0.715,1.145,0.75,0.207,0.225,0.082,0.182,0.079,0.112,0.105,0.224,0.145,-0.073,0.126,0.184,0.014,0.049,0.072,0.207
4,16,256,0,0.5,0.1,0.003,0.0005,1,4,0.01,0.8859578704833985,0.222,0.251,0.335,0.31,0.251,0.315,0.246,0.291,0.325,0.522,0.488,0.394,0.34,0.379,0.261,0.394,1.029,1.105,0.887,0.899,1.088,1.018,1.062,0.973,0.893,0.562,0.62,0.705,0.755,0.709,1.115,0.782,0.223,0.233,0.126,0.214,0.132,0.183,0.15,0.247,0.199,0.021,0.095,0.188,0.12,0.156,0.157,0.221
16,4,128,0.2,0.1,0.5,0.0005,0.0005,8,8,0.001,0.8580436706542969,0.256,0.251,0.286,0.335,0.251,0.296,0.251,0.315,0.315,0.424,0.507,0.404,0.355,0.448,0.246,0.325,1.016,1.092,0.904,0.894,1.072,1.04,1.064,0.969,0.881,0.548,0.577,0.697,0.743,0.698,1.113,0.749,0.25,0.252,0.105,0.19,0.097,0.098,0.089,0.263,0.223,0.104,0.152,0.213,0.093,0.133,0.124,0.295
4,16,128,0.2,0,0.2,0.0003,0.0005,1,4,0.002,0.8712580108642578,0.251,0.35,0.251,0.35,0.241,0.3,0.305,0.355,0.296,0.409,0.429,0.34,0.404,0.355,0.266,0.414,1.027,1.037,0.961,0.877,1.036,0.984,0.964,0.94,0.968,0.65,0.664,0.766,0.732,0.757,1.082,0.771,0.308,0.378,0.122,0.335,0.282,0.362,0.354,0.273,-0.063,-0.018,0.129,0.217,0.301,-0.023,0.267,0.245
4,16,256,0.15,0.15,0,0.0003,0.001,8,4,0.001,0.8824259185791016,0.241,0.266,0.325,0.335,0.271,0.305,0.241,0.305,0.32,0.527,0.493,0.379,0.355,0.424,0.266,0.389,1.032,1.093,0.888,0.881,1.077,1.045,1.059,0.96,0.873,0.54,0.609,0.7,0.742,0.693,1.122,0.747,0.255,0.269,0.186,0.278,0.129,0.123,0.155,0.282,0.221,0.054,0.047,0.223,0.114,0.199,0.157,0.305
16,4,256,0.3,0.15,0.15,0.001,0.001,1,64,0,0.8504215240478515,0.266,0.251,0.32,0.35,0.232,0.325,0.261,0.291,0.305,0.458,0.483,0.384,0.374,0.424,0.222,0.384,1.014,1.075,0.874,0.88,1.052,1.018,1.042,0.965,0.875,0.567,0.59,0.702,0.756,0.687,1.101,0.767,0.307,0.325,0.16,0.234,0.207,0.154,0.213,0.265,0.234,0.081,0.111,0.221,0.166,0.192,0.226,0.213
4,4,128,0.5,0.1,0.2,0.001,0.003,8,64,0.002,0.8269709014892578,0.261,0.232,0.335,0.335,0.261,0.32,0.232,0.305,0.31,0.532,0.498,0.409,0.414,0.429,0.246,0.36,1.019,1.12,0.889,0.885,1.035,0.994,1.025,0.97,0.908,0.53,0.587,0.704,0.711,0.702,1.054,0.756,0.23,0.23,0.067,0.222,0.174,0.231,0.188,0.213,0.004,0.04,0.063,0.131,0.222,0.112,0.25,0.22
8,8,128,0.5,0.5,0.2,0.0003,0.003,1,16,0.001,0.83251708984375,0.266,0.271,0.315,0.384,0.256,0.325,0.271,0.315,0.325,0.576,0.512,0.384,0.32,0.404,0.246,0.389,1.024,1.089,0.88,0.885,1.054,1.007,1.021,0.958,0.891,0.519,0.574,0.703,0.745,0.701,1.096,0.746,0.253,0.288,0.163,0.236,0.173,0.212,0.184,0.281,0.255,0.167,0.206,0.213,0.158,0.183,0.193,0.257
8,8,256,0.15,0.5,0.3,0.003,0.001,4,128,0.01,0.8535645294189453,0.217,0.217,0.325,0.33,0.236,0.32,0.241,0.296,0.305,0.453,0.438,0.389,0.419,0.355,0.266,0.355,0.993,1.095,0.885,0.889,1.04,0.993,1.015,0.96,0.9,0.587,0.607,0.705,0.719,0.754,1.08,0.747,0.318,0.318,0.107,0.208,0.193,0.228,0.227,0.275,-0.017,-0.069,0.16,0.118,0.176,-0.3,0.198,0.195
16,16,64,0.1,0.5,0.2,0.0005,0.0003,16,16,0.01,0.8366494750976563,0.286,0.241,0.286,0.32,0.276,0.345,0.35,0.33,0.296,0.419,0.443,0.35,0.409,0.419,0.271,0.379,0.987,1.048,0.937,0.883,1.0,0.962,0.936,0.936,0.946,0.631,0.634,0.754,0.71,0.736,1.061,0.757,0.382,0.361,0.126,0.297,0.351,0.324,0.403,0.329,0.104,0.057,0.175,0.204,0.311,0.089,0.29,0.288
16,8,256,0.3,0.5,0.2,0.001,0.0005,4,64,0.001,0.8465407562255859,0.246,0.296,0.325,0.33,0.236,0.296,0.276,0.286,0.33,0.552,0.502,0.389,0.36,0.429,0.241,0.394,1.014,1.078,0.876,0.895,1.07,1.037,1.053,0.952,0.883,0.54,0.579,0.702,0.735,0.697,1.116,0.749,0.256,0.285,0.112,0.205,0.143,0.142,0.14,0.299,0.225,0.11,0.138,0.176,0.166,0.163,0.178,0.285
4,4,64,0.5,0.1,0.2,0.001,0.001,16,4,0.01,0.8535330963134765,0.256,0.207,0.335,0.33,0.246,0.32,0.261,0.3,0.31,0.433,0.507,0.399,0.325,0.31,0.261,0.35,1.013,1.113,0.878,0.888,1.039,1.025,1.036,0.957,0.911,0.56,0.576,0.702,0.757,0.751,1.084,0.738,0.264,0.26,0.119,0.205,0.145,0.131,0.135,0.292,-0.111,-0.048,0.211,0.196,0.093,-0.219,0.192,0.276
